1	Then Job answered the LORD, and said,
2	I know that you can do every thing, and that no thought can be withheld from you.
3	Who is he that hides counsel without knowledge? therefore have I uttered that I understood not; things too wonderful for me, which I knew not.
4	Hear, I beseech you, and I will speak: I will demand of you, and declare you to me.
5	I have heard of you by the hearing of the ear: but now my eye sees you.
6	Why I abhor myself, and repent in dust and ashes.
7	And it was so, that after the LORD had spoken these words to Job, the LORD said to Eliphaz the Temanite, My wrath is kindled against you, and against your two friends: for you have not spoken of me the thing that is right, as my servant Job has.
8	Therefore take to you now seven bullocks and seven rams, and go to my servant Job, and offer up for yourselves a burnt offering; and my servant Job shall pray for you: for him will I accept: lest I deal with you after your folly, in that you have not spoken of me the thing which is right, like my servant Job.
9	So Eliphaz the Temanite and Bildad the Shuhite and Zophar the Naamathite went, and did according as the LORD commanded them: the LORD also accepted Job.
10	And the LORD turned the captivity of Job, when he prayed for his friends: also the LORD gave Job twice as much as he had before.
11	Then came there to him all his brothers, and all his sisters, and all they that had been of his acquaintance before, and did eat bread with him in his house: and they bemoaned him, and comforted him over all the evil that the LORD had brought on him: every man also gave him a piece of money, and every one an earring of gold.
12	So the LORD blessed the latter end of Job more than his beginning: for he had fourteen thousand sheep, and six thousand camels, and a thousand yoke of oxen, and a thousand she asses.
13	He had also seven sons and three daughters.
14	And he called the name of the first, Jemima; and the name of the second, Kezia; and the name of the third, Kerenhappuch.
15	And in all the land were no women found so fair as the daughters of Job: and their father gave them inheritance among their brothers.
16	After this lived Job an hundred and forty years, and saw his sons, and his sons’ sons, even four generations.
17	So Job died, being old and full of days.
Psalm 1:1	Blessed is the man that walks not in the counsel of the ungodly, nor stands in the way of sinners, nor sits in the seat of the scornful.
Psalm 1:2	But his delight is in the law of the LORD; and in his law does he meditate day and night.
Psalm 1:3	And he shall be like a tree planted by the rivers of water, that brings forth his fruit in his season; his leaf also shall not wither; and whatever he does shall prosper.
Psalm 1:4	The ungodly are not so: but are like the chaff which the wind drives away.
Psalm 1:5	Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.
Psalm 1:6	For the LORD knows the way of the righteous: but the way of the ungodly shall perish.
Psalm 2:1	Why do the heathen rage, and the people imagine a vain thing?
Psalm 2:2	The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,
Psalm 2:3	Let us break their bands asunder, and cast away their cords from us.
Psalm 2:4	He that sits in the heavens shall laugh: the LORD shall have them in derision.
Psalm 2:5	Then shall he speak to them in his wrath, and vex them in his sore displeasure.
Psalm 2:6	Yet have I set my king on my holy hill of Zion.
Psalm 2:7	I will declare the decree: the LORD has said to me, You are my Son; this day have I begotten you.
Psalm 2:8	Ask of me, and I shall give you the heathen for your inheritance, and the uttermost parts of the earth for your possession.
Psalm 2:9	You shall break them with a rod of iron; you shall dash them in pieces like a potter’s vessel.
Psalm 2:10	Be wise now therefore, O you kings: be instructed, you judges of the earth.
Psalm 2:11	Serve the LORD with fear, and rejoice with trembling.
Psalm 2:12	Kiss the Son, lest he be angry, and you perish from the way, when his wrath is kindled but a little. Blessed are all they that put their trust in him.
Psalm 3:1	Lord, how are they increased that trouble me! many are they that rise up against me.
Psalm 3:2	Many there be which say of my soul, There is no help for him in God. Selah.
Psalm 3:3	But you, O LORD, are a shield for me; my glory, and the lifter up of my head.
Psalm 3:4	I cried to the LORD with my voice, and he heard me out of his holy hill. Selah.
Psalm 3:5	I laid me down and slept; I awaked; for the LORD sustained me.
Psalm 3:6	I will not be afraid of ten thousands of people, that have set themselves against me round about.
Psalm 3:7	Arise, O LORD; save me, O my God: for you have smitten all my enemies on the cheek bone; you have broken the teeth of the ungodly.
Psalm 3:8	Salvation belongs to the LORD: your blessing is on your people. Selah.
Psalm 4:1	Hear me when I call, O God of my righteousness: you have enlarged me when I was in distress; have mercy on me, and hear my prayer.
Psalm 4:2	O you sons of men, how long will you turn my glory into shame? how long will you love vanity, and seek after leasing? Selah.
Psalm 4:3	But know that the LORD has set apart him that is godly for himself: the LORD will hear when I call to him.
Psalm 4:4	Stand in awe, and sin not: commune with your own heart on your bed, and be still. Selah.
Psalm 4:5	Offer the sacrifices of righteousness, and put your trust in the LORD.
Psalm 4:6	There be many that say, Who will show us any good? LORD, lift you up the light of your countenance on us.
Psalm 4:7	You have put gladness in my heart, more than in the time that their corn and their wine increased.
Psalm 4:8	I will both lay me down in peace, and sleep: for you, LORD, only make me dwell in safety.
Psalm 5:1	Give ear to my words, O LORD, consider my meditation.
Psalm 5:2	Listen to the voice of my cry, my King, and my God: for to you will I pray.
Psalm 5:3	My voice shall you hear in the morning, O LORD; in the morning will I direct my prayer to you, and will look up.
Psalm 5:4	For you are not a God that has pleasure in wickedness: neither shall evil dwell with you.
Psalm 5:5	The foolish shall not stand in your sight: you hate all workers of iniquity.
Psalm 5:6	You shall destroy them that speak leasing: the LORD will abhor the bloody and deceitful man.
Psalm 5:7	But as for me, I will come into your house in the multitude of your mercy: and in your fear will I worship toward your holy temple.
Psalm 5:8	Lead me, O LORD, in your righteousness because of my enemies; make your way straight before my face.
Psalm 5:9	For there is no faithfulness in their mouth; their inward part is very wickedness; their throat is an open sepulcher; they flatter with their tongue.
Psalm 5:10	Destroy you them, O God; let them fall by their own counsels; cast them out in the multitude of their transgressions; for they have rebelled against you.
Psalm 5:11	But let all those that put their trust in you rejoice: let them ever shout for joy, because you defend them: let them also that love your name be joyful in you.
Psalm 5:12	For you, LORD, will bless the righteous; with favor will you compass him as with a shield.
Psalm 6:1	O LORD, rebuke me not in your anger, neither chasten me in your hot displeasure.
Psalm 6:2	Have mercy on me, O LORD; for I am weak: O LORD, heal me; for my bones are vexed.
Psalm 6:3	My soul is also sore vexed: but you, O LORD, how long?
Psalm 6:4	Return, O LORD, deliver my soul: oh save me for your mercies’ sake.
Psalm 6:5	For in death there is no remembrance of you: in the grave who shall give you thanks?
Psalm 6:6	I am weary with my groaning; all the night make I my bed to swim; I water my couch with my tears.
Psalm 6:7	My eye is consumed because of grief; it waxes old because of all my enemies.
Psalm 6:8	Depart from me, all you workers of iniquity; for the LORD has heard the voice of my weeping.
Psalm 6:9	The LORD has heard my supplication; the LORD will receive my prayer.
Psalm 6:10	Let all my enemies be ashamed and sore vexed: let them return and be ashamed suddenly.
Psalm 7:1	O LORD my God, in you do I put my trust: save me from all them that persecute me, and deliver me:
Psalm 7:2	Lest he tear my soul like a lion, rending it in pieces, while there is none to deliver.
Psalm 7:3	O LORD my God, If I have done this; if there be iniquity in my hands;
Psalm 7:4	If I have rewarded evil to him that was at peace with me; (yes, I have delivered him that without cause is my enemy:)
Psalm 7:5	Let the enemy persecute my soul, and take it; yes, let him tread down my life on the earth, and lay my honor in the dust. Selah.
Psalm 7:6	Arise, O LORD, in your anger, lift up yourself because of the rage of my enemies: and awake for me to the judgment that you have commanded.
Psalm 7:7	So shall the congregation of the people compass you about: for their sakes therefore return you on high.
Psalm 7:8	The LORD shall judge the people: judge me, O LORD, according to my righteousness, and according to my integrity that is in me.
Psalm 7:9	Oh let the wickedness of the wicked come to an end; but establish the just: for the righteous God tries the hearts and reins.
Psalm 7:10	My defense is of God, which saves the upright in heart.
Psalm 7:11	God judges the righteous, and God is angry with the wicked every day.
Psalm 7:12	If he turn not, he will whet his sword; he has bent his bow, and made it ready.
Psalm 7:13	He has also prepared for him the instruments of death; he ordains his arrows against the persecutors.
Psalm 7:14	Behold, he travails with iniquity, and has conceived mischief, and brought forth falsehood.
Psalm 7:15	He made a pit, and dig it, and is fallen into the ditch which he made.
Psalm 7:16	His mischief shall return on his own head, and his violent dealing shall come down on his own pate.
Psalm 7:17	I will praise the LORD according to his righteousness: and will sing praise to the name of the LORD most high.
Psalm 8:1	O LORD, our Lord, how excellent is your name in all the earth! who have set your glory above the heavens.
Psalm 8:2	Out of the mouth of babes and sucklings have you ordained strength because of your enemies, that you might still the enemy and the avenger.
Psalm 8:3	When I consider your heavens, the work of your fingers, the moon and the stars, which you have ordained;
Psalm 8:4	What is man, that you are mindful of him? and the son of man, that you visit him?
Psalm 8:5	For you have made him a little lower than the angels, and have crowned him with glory and honor.
Psalm 8:6	You made him to have dominion over the works of your hands; you have put all things under his feet:
Psalm 8:7	All sheep and oxen, yes, and the beasts of the field;
Psalm 8:8	The fowl of the air, and the fish of the sea, and whatever passes through the paths of the seas.
Psalm 8:9	O LORD our Lord, how excellent is your name in all the earth!
Psalm 9:1	I will praise you, O LORD, with my whole heart; I will show forth all your marvelous works.
Psalm 9:2	I will be glad and rejoice in you: I will sing praise to your name, O you most High.
Psalm 9:3	When my enemies are turned back, they shall fall and perish at your presence.
Psalm 9:4	For you have maintained my right and my cause; you sat in the throne judging right.
Psalm 9:5	You have rebuked the heathen, you have destroyed the wicked, you have put out their name for ever and ever.
Psalm 9:6	O you enemy, destructions are come to a perpetual end: and you have destroyed cities; their memorial is perished with them.
Psalm 9:7	But the LORD shall endure for ever: he has prepared his throne for judgment.
Psalm 9:8	And he shall judge the world in righteousness, he shall minister judgment to the people in uprightness.
