1	Then Job answered the LORD, and said:
2	I know that Thou canst do every thing, And that no purpose can be withholden from Thee.
3	Who is this that hideth counsel without knowledge? Therefore have I uttered that which I understood not, Things too wonderful for me, which I knew not.
4	Hear, I beseech Thee, and I will speak; I will demand of Thee, and declare Thou unto me.
5	I had heard of Thee by the hearing of the ear; But now mine eye seeth Thee;
6	Wherefore I abhor my words, and repent, Seeing I am dust and ashes.
7	And it was so, that after the LORD had spoken these words unto Job, the LORD said to Eliphaz the Temanite: ‘My wrath is kindled against thee, and against thy two friends; for ye have not spoken of Me the thing that is right, as My servant Job hath.
8	Now therefore, take unto you seven bullocks and seven rams, and go to My servant Job, and offer up for yourselves a burnt-offering; and My servant Job shall pray for you; for him will I accept, that I do not unto you aught unseemly; for ye have not spoken of Me the thing that is right, as my servant Job hath.’
9	So Eliphaz the Temanite and Bildad the Shuhite and Zophar the Naamathite went, and did according as the LORD commanded them; and the LORD accepted Job.
10	And the LORD changed the fortune of Job, when he prayed for his friends; and the LORD gave Job twice as much as he had before.
11	Then came there unto him all his brethren, and all his sisters, and all they that had been of his acquaintance before, and did eat bread with him in his house; and they bemoaned him, and comforted him concerning all the evil that the LORD had brought upon him; every man also gave him a piece of money, and every one a ring of gold.
12	So the LORD blessed the latter end of Job more than his beginning; and he had fourteen thousand sheep, and six thousand camels, and a thousand yoke of oxen, and a thousand she-asses.
13	He had also seven sons and three daughters.
14	And he called the name of the first, Jemimah; and the name of the second, Keziah; and the name of the third, Keren-happuch.
15	And in all the land were no women found so fair as the daughters of Job; and their father gave them inheritance among their brethren.
16	And after this Job lived a hundred and forty years, and saw his sons, and his sons’ sons, even four generations.
17	So Job died, being old and full of days.
Psalm 1:1	HAPPY IS the man that hath not walked in the counsel of the wicked, Nor stood in the way of sinners, Nor sat in the seat of the scornful.
Psalm 1:2	But his delight is in the law of the LORD; And in His law doth he meditate day and night.
Psalm 1:3	And he shall be like a tree planted by streams of water, That bringeth forth its fruit in its season, And whose leaf doth not wither; And in whatsoever he doeth he shall prosper.
Psalm 1:4	Not so the wicked; But they are like the chaff which the wind driveth away.
Psalm 1:5	Therefore the wicked shall not stand in the judgment, Nor sinners in the congregation of the righteous.
Psalm 1:6	For the LORD regardeth the way of the righteous; But the way of the wicked shall perish.
Psalm 2:1	Why are the nations in an uproar? And why do the peoples mutter in vain?
Psalm 2:2	The kings of the earth stand up, And the rulers take counsel together, Against the LORD, and against His anointed:
Psalm 2:3	Let us break their bands asunder, And cast away their cords from us.’
Psalm 2:4	He that sitteth in heaven laugheth, The Lord hath them in derision.
Psalm 2:5	Then will He speak unto them in His wrath, And affright them in His sore displeasure:
Psalm 2:6	Truly it is I that have established My king Upon Zion, My holy mountain.’
Psalm 2:7	I will tell of the decree: The LORD said unto me: ‘Thou art My son, This day have I begotten thee.
Psalm 2:8	Ask of Me, and I will give the nations for thine inheritance, And the ends of the earth for thy possession.
Psalm 2:9	Thou shalt break them with a rod of iron; Thou shalt dash them in pieces like a potter’s vessel.’
Psalm 2:10	Now therefore, O ye kings, be wise; Be admonished, ye judges of the earth.
Psalm 2:11	Serve the LORD with fear, And rejoice with trembling.
Psalm 2:12	Do homage in purity, lest He be angry, and ye perish in the way, When suddenly His wrath is kindled. Happy are all they that take refuge in Him.
Psalm 3:1	A Psalm of David, when he fled from Absalom his son. LORD, how many are mine adversaries become! Many are they that rise up against me.
Psalm 3:2	Many there are that say of my soul: ‘There is no salvation for him in God.’ Selah
Psalm 3:3	But thou, O LORD, art a shield about me; My glory, and the lifter up of my head.
Psalm 3:4	With my voice I call unto the LORD, And He answereth me out of His holy mountain. Selah
Psalm 3:5	I lay me down, and I sleep; I awake, for the LORD sustaineth me.
Psalm 3:6	I am not afraid of ten thousands of people, That have set themselves against me round about.
Psalm 3:7	Arise, O LORD; save me, O my God; For Thou hast smitten all mine enemies upon the cheek, Thou hast broken the teeth of the wicked.
Psalm 3:8	Salvation belongeth unto the LORD; Thy blessing be upon Thy people. Selah
Psalm 4:1	For the Leader; with string-music. A Psalm of David. Answer me when I call, O God of my righteousness, Thou who didst set me free when I was in distress; Be gracious unto me, and hear my prayer.
Psalm 4:2	O ye sons of men, how long shall my glory be put to shame, In that ye love vanity, and seek after falsehood? Selah
Psalm 4:3	But know that the LORD hath set apart the godly man as His own; The LORD will hear when I call unto Him.
Psalm 4:4	Tremble, and sin not; Commune with your own heart upon your bed, and be still. Selah
Psalm 4:5	Offer the sacrifices of righteousness, And put your trust in the LORD.
Psalm 4:6	Many there are that say: ‘Oh that we could see some good!’ LORD, lift Thou up the light of Thy countenance upon us.
Psalm 4:7	Thou hast put gladness in my heart, More than when their corn and their wine increase.
Psalm 4:8	In peace will I both lay me down and sleep; For Thou, LORD, makest me dwell alone in safety.
Psalm 5:1	For the Leader; upon the Nehiloth. A Psalm of David. Give ear to my words, O LORD, consider my meditation.
Psalm 5:2	Hearken unto the voice of my cry, my King, and my God; For unto Thee do I pray.
Psalm 5:3	O LORD, in the morning shalt Thou hear my voice; In the morning will I order my prayer unto Thee, and will look forward.
Psalm 5:4	For Thou art not a God that hath pleasure in wickedness; Evil shall not sojourn with Thee.
Psalm 5:5	The boasters shall not stand in Thy sight; Thou hatest all workers of iniquity.
Psalm 5:6	Thou destroyest them that speak falsehood; The LORD abhorreth the man of blood and of deceit.
Psalm 5:7	But as for me, in the abundance of Thy lovingkindness will I come into Thy house; I will bow down toward Thy holy temple in the fear of Thee.
Psalm 5:8	O LORD, lead me in Thy righteousness because of them that lie in wait for me; Make Thy way straight before my face.
Psalm 5:9	For there is no sincerity in their mouth; Their inward part is a yawning gulf, Their throat is an open sepulchre; They make smooth their tongue.
Psalm 5:10	Hold them guilty, O God, Let them fall by their own counsels; Cast them down in the multitude of their transgressions; For they have rebelled against Thee.
Psalm 5:11	So shall all those that take refuge in Thee rejoice, They shall ever shout for joy, And Thou shalt shelter them; Let them also that love Thy name exult in Thee.
Psalm 5:12	For Thou dost bless the righteous; O LORD, Thou dost encompass him with favour as with a shield.
Psalm 6:1	For the Leader; with string-music; on the Sheminith. A Psalm of David. O LORD, rebuke me not in Thine anger, Neither chasten me in Thy wrath.
Psalm 6:2	Be gracious unto me, O LORD, for I languish away; Heal me, O LORD, for my bones are affrighted.
Psalm 6:3	My soul also is sore affrighted; And Thou, O LORD, how long?
Psalm 6:4	Return, O LORD, deliver my soul; Save me for Thy mercy’s sake.
Psalm 6:5	For in death there is no remembrance of Thee; In the nether-world who will give Thee thanks?
Psalm 6:6	I am weary with my groaning; Every night make I my bed to swim; I melt away my couch with my tears.
Psalm 6:7	Mine eye is dimmed because of vexation; It waxeth old because of all mine adversaries.
Psalm 6:8	Depart from me, all ye workers of iniquity; For the LORD hath heard the voice of my weeping.
Psalm 6:9	The LORD hath heard my supplication; The LORD receiveth my prayer.
Psalm 6:10	All mine enemies shall be ashamed and sore affrighted; They shall turn back, they shall be ashamed suddenly.
Psalm 7:1	Shiggaion of David, which he sang unto the LORD, concerning Cush a Benjamite. O LORD my God, in Thee have I taken refuge; Save me from all them that pursue me, and deliver me;
Psalm 7:2	Lest he tear my soul like a lion, Rending it in pieces, while there is none to deliver.
Psalm 7:3	O LORD my God, if I have done this; If there be iniquity in my hands;
Psalm 7:4	If I have requited him that did evil unto me, Or spoiled mine adversary unto emptiness;
Psalm 7:5	Let the enemy pursue my soul, and overtake it, And tread my life down to the earth; Yea, let him lay my glory in the dust. Selah
Psalm 7:6	Arise, O LORD, in Thine anger, Lift up Thyself in indignation against mine adversaries; Yea, awake for me at the judgment which Thou hast commanded.
Psalm 7:7	And let the congregation of the peoples compass Thee about, And over them return Thou on high.
Psalm 7:8	O LORD, who ministerest judgment to the peoples, Judge me, O LORD, According to my righteousness, and according to mine integrity that is in me.
Psalm 7:9	Oh that a full measure of evil might come upon the wicked, And that Thou wouldest establish the righteous; For the righteous God trieth the heart and reins.
Psalm 7:10	My shield is with God, Who saveth the upright in heart.
Psalm 7:11	God is a righteous judge, Yea, a God that hath indignation every day:
Psalm 7:12	If a man turn not, He will whet His sword, He hath bent His bow, and made it ready;
Psalm 7:13	He hath also prepared for him the weapons of death, Yea, His arrows which He made sharp.
Psalm 7:14	Behold, he travaileth with iniquity; Yea, he conceiveth mischief, and bringeth forth falsehood.
Psalm 7:15	He hath digged a pit, and hollowed it, And is fallen into the ditch which he made.
Psalm 7:16	His mischief shall return upon his own head, And his violence shall come down upon his own pate.
Psalm 7:17	I will give thanks unto the LORD according to His righteousness; And will sing praise to the name of the LORD Most High.
Psalm 8:1	For the Leader; upon the Gittith. A Psalm of David. O LORD, our Lord, How glorious is Thy name in all the earth! Whose majesty is rehearsed above the heavens.
Psalm 8:2	Out of the mouth of babes and sucklings hast Thou founded strength, Because of Thine adversaries; That Thou mightest still the enemy and the avenger.
Psalm 8:3	When I behold Thy heavens, the work of Thy fingers, The moon and the stars, which Thou hast established;
Psalm 8:4	What is man, that Thou art mindful of him? And the son of man, that Thou thinkest of him?
Psalm 8:5	Yet Thou hast made him but little lower than the angels, And hast crowned him with glory and honour.
Psalm 8:6	Thou hast made him to have dominion over the works of Thy hands; Thou hast put all things under His feet:
Psalm 8:7	Sheep and oxen, all of them, Yea, and the beasts of the field;
Psalm 8:8	The fowl of the air, and the fish of the sea; Whatsoever passeth through the paths of the seas.
Psalm 8:9	O LORD, our Lord, How glorious is Thy name in all the earth!
Psalm 9:1	For the Leader; upon Muthlabben. A Psalm of David. I will give thanks unto the LORD with my whole heart; I will tell of all Thy marvellous works.
Psalm 9:2	I will be glad and exult in Thee; I will sing praise to Thy name, O Most High:
Psalm 9:3	When mine enemies are turned back, They stumble and perish at Thy presence;
Psalm 9:4	For Thou hast maintained my right and my cause; Thou sattest upon the throne as the righteous Judge.
Psalm 9:5	Thou hast rebuked the nations, Thou hast destroyed the wicked, Thou hast blotted out their name for ever and ever.
Psalm 9:6	O thou enemy, the waste places are come to an end for ever; And the cities which thou didst uproot, Their very memorial is perished.
Psalm 9:7	But the LORD is enthroned for ever; He hath established His throne for judgment.
Psalm 9:8	And He will judge the world in righteousness, He will minister judgment to the peoples with equity.
Psalm 9:9	The LORD also will be a high tower for the oppressed, A high tower in times of trouble;
