1	Then Job answered Yahweh,
2	“I know that you can do all things, and that no purpose of yours can be restrained.
3	You asked, ‘Who is this who hides counsel without knowledge?’ therefore I have uttered that which I did not understand, things too wonderful for me, which I didn’t know.
4	You said, ‘Listen, now, and I will speak; I will question you, and you will answer me.’
5	I had heard of you by the hearing of the ear, but now my eye sees you.
6	Therefore I abhor myself, and repent in dust and ashes.”
7	It was so, that after Yahweh had spoken these words to Job, Yahweh said to Eliphaz the Temanite, “My wrath is kindled against you, and against your two friends; for you have not spoken of me the thing that is right, as my servant Job has.
8	Now therefore, take to yourselves seven bulls and seven rams, and go to my servant Job, and offer up for yourselves a burnt offering; and my servant Job shall pray for you, for I will accept him, that I not deal with you according to your folly. For you have not spoken of me the thing that is right, as my servant Job has.”
9	So Eliphaz the Temanite and Bildad the Shuhite and Zophar the Naamathite went, and did what Yahweh commanded them, and Yahweh accepted Job.
10	Yahweh turned the captivity of Job, when he prayed for his friends. Yahweh gave Job twice as much as he had before.
11	Then came there to him all his brothers, and all his sisters, and all those who had been of his acquaintance before, and ate bread with him in his house. They comforted him, and consoled him concerning all the evil that Yahweh had brought on him. Everyone also gave him a piece of money, and everyone a ring of gold.
12	So Yahweh blessed the latter end of Job more than his beginning. He had fourteen thousand sheep, six thousand camels, one thousand yoke of oxen, and a thousand female donkeys.
13	He had also seven sons and three daughters.
14	He called the name of the first, Jemimah; and the name of the second, Keziah; and the name of the third, Keren Happuch.
15	In all the land were no women found so beautiful as the daughters of Job. Their father gave them an inheritance among their brothers.
16	After this Job lived one hundred forty years, and saw his sons, and his sons’ sons, to four generations.
17	So Job died, being old and full of days.
Psalm 1:1	Blessed is the man who doesn’t walk in the counsel of the wicked, nor stand in the way of sinners, nor sit in the seat of scoffers;
Psalm 1:2	but his delight is in Yahweh’s law. On his law he meditates day and night.
Psalm 1:3	He will be like a tree planted by the streams of water, that brings forth its fruit in its season, whose leaf also does not wither. Whatever he does shall prosper.
Psalm 1:4	The wicked are not so, but are like the chaff which the wind drives away.
Psalm 1:5	Therefore the wicked shall not stand in the judgment, nor sinners in the congregation of the righteous.
Psalm 1:6	For Yahweh knows the way of the righteous, but the way of the wicked shall perish.
Psalm 2:1	Why do the nations rage, and the peoples plot a vain thing?
Psalm 2:2	The kings of the earth take a stand, and the rulers take counsel together, against Yahweh, and against his Anointed, saying,
Psalm 2:3	“Let’s break their bonds apart, and cast their cords from us.”
Psalm 2:4	He who sits in the heavens will laugh. The Lord will have them in derision.
Psalm 2:5	Then he will speak to them in his anger, and terrify them in his wrath:
Psalm 2:6	“Yet I have set my King on my holy hill of Zion.”
Psalm 2:7	I will tell of the decree. Yahweh said to me, “You are my son. Today I have become your father.
Psalm 2:8	Ask of me, and I will give the nations for your inheritance, the uttermost parts of the earth for your possession.
Psalm 2:9	You shall break them with a rod of iron. You shall dash them in pieces like a potter’s vessel.”
Psalm 2:10	Now therefore be wise, you kings. Be instructed, you judges of the earth.
Psalm 2:11	Serve Yahweh with fear, and rejoice with trembling.
Psalm 2:12	Give sincere homage to the Son, lest he be angry, and you perish in the way, for his wrath will soon be kindled. Blessed are all those who take refuge in him.
Psalm 3:1	A Psalm by David, when he fled from Absalom his son. Yahweh, how my adversaries have increased! Many are those who rise up against me.
Psalm 3:2	Many there are who say of my soul, “There is no help for him in God.” Selah.
Psalm 3:3	But you, Yahweh, are a shield around me, my glory, and the one who lifts up my head.
Psalm 3:4	I cry to Yahweh with my voice, and he answers me out of his holy hill. Selah.
Psalm 3:5	I laid myself down and slept. I awakened; for Yahweh sustains me.
Psalm 3:6	I will not be afraid of tens of thousands of people who have set themselves against me on every side.
Psalm 3:7	Arise, Yahweh! Save me, my God! For you have struck all of my enemies on the cheek bone. You have broken the teeth of the wicked.
Psalm 3:8	Salvation belongs to Yahweh. Your blessing be on your people. Selah.
Psalm 4:1	For the Chief Musician; on stringed instruments. A Psalm by David. Answer me when I call, God of my righteousness. Give me relief from my distress. Have mercy on me, and hear my prayer.
Psalm 4:2	You sons of men, how long shall my glory be turned into dishonor? Will you love vanity, and seek after falsehood? Selah.
Psalm 4:3	But know that Yahweh has set apart for himself him who is godly: Yahweh will hear when I call to him.
Psalm 4:4	Stand in awe, and don’t sin. Search your own heart on your bed, and be still. Selah.
Psalm 4:5	Offer the sacrifices of righteousness. Put your trust in Yahweh.
Psalm 4:6	Many say, “Who will show us any good?” Yahweh, let the light of your face shine on us.
Psalm 4:7	You have put gladness in my heart, more than when their grain and their new wine are increased.
Psalm 4:8	In peace I will both lay myself down and sleep, for you, Yahweh alone, make me live in safety.
Psalm 5:1	For the Chief Musician, with the flutes. A Psalm by David. Give ear to my words, Yahweh. Consider my meditation.
Psalm 5:2	Listen to the voice of my cry, my King and my God; for to you do I pray.
Psalm 5:3	Yahweh, in the morning you shall hear my voice. In the morning I will lay my requests before you, and will watch expectantly.
Psalm 5:4	For you are not a God who has pleasure in wickedness. Evil can’t live with you.
Psalm 5:5	The arrogant shall not stand in your sight. You hate all workers of iniquity.
Psalm 5:6	You will destroy those who speak lies. Yahweh abhors the bloodthirsty and deceitful man.
Psalm 5:7	But as for me, in the abundance of your loving kindness I will come into your house. I will bow toward your holy temple in reverence of you.
Psalm 5:8	Lead me, Yahweh, in your righteousness because of my enemies. Make your way straight before my face.
Psalm 5:9	For there is no faithfulness in their mouth. Their heart is destruction. Their throat is an open tomb. They flatter with their tongue.
Psalm 5:10	Hold them guilty, God. Let them fall by their own counsels; Thrust them out in the multitude of their transgressions, for they have rebelled against you.
Psalm 5:11	But let all those who take refuge in you rejoice, Let them always shout for joy, because you defend them. Let them also who love your name be joyful in you.
Psalm 5:12	For you will bless the righteous. Yahweh, you will surround him with favor as with a shield.
Psalm 6:1	For the Chief Musician; on stringed instruments, upon the eight-stringed lyre. A Psalm by David. Yahweh, don’t rebuke me in your anger, neither discipline me in your wrath.
Psalm 6:2	Have mercy on me, Yahweh, for I am faint. Yahweh, heal me, for my bones are troubled.
Psalm 6:3	My soul is also in great anguish. But you, Yahweh—how long?
Psalm 6:4	Return, Yahweh. Deliver my soul, and save me for your loving kindness’ sake.
Psalm 6:5	For in death there is no memory of you. In Sheol, who shall give you thanks?
Psalm 6:6	I am weary with my groaning. Every night I flood my bed. I drench my couch with my tears.
Psalm 6:7	My eye wastes away because of grief. It grows old because of all my adversaries.
Psalm 6:8	Depart from me, all you workers of iniquity, for Yahweh has heard the voice of my weeping.
Psalm 6:9	Yahweh has heard my supplication. Yahweh accepts my prayer.
Psalm 6:10	May all my enemies be ashamed and dismayed. They shall turn back, they shall be disgraced suddenly.
Psalm 7:1	A meditation by David, which he sang to Yahweh, concerning the words of Cush, the Benjamite. Yahweh, my God, I take refuge in you. Save me from all those who pursue me, and deliver me,
Psalm 7:2	lest they tear apart my soul like a lion, ripping it in pieces, while there is none to deliver.
Psalm 7:3	Yahweh, my God, if I have done this, if there is iniquity in my hands,
Psalm 7:4	if I have rewarded evil to him who was at peace with me (yes, if I have delivered him who without cause was my adversary),
Psalm 7:5	let the enemy pursue my soul, and overtake it; yes, let him tread my life down to the earth, and lay my glory in the dust. Selah.
Psalm 7:6	Arise, Yahweh, in your anger. Lift up yourself against the rage of my adversaries. Awake for me. You have commanded judgment.
Psalm 7:7	Let the congregation of the peoples surround you. Rule over them on high.
Psalm 7:8	Yahweh administers judgment to the peoples. Judge me, Yahweh, according to my righteousness, and to my integrity that is in me.
Psalm 7:9	Oh let the wickedness of the wicked come to an end, but establish the righteous; their minds and hearts are searched by the righteous God.
Psalm 7:10	My shield is with God, who saves the upright in heart.
Psalm 7:11	God is a righteous judge, yes, a God who has indignation every day.
Psalm 7:12	If a man doesn’t relent, he will sharpen his sword; he has bent and strung his bow.
Psalm 7:13	He has also prepared for himself the instruments of death. He makes ready his flaming arrows.
Psalm 7:14	Behold, he travails with iniquity. Yes, he has conceived mischief, and brought forth falsehood.
Psalm 7:15	He has dug a hole, and has fallen into the pit which he made.
Psalm 7:16	The trouble he causes shall return to his own head. His violence shall come down on the crown of his own head.
Psalm 7:17	I will give thanks to Yahweh according to his righteousness, and will sing praise to the name of Yahweh Most High.
Psalm 8:1	For the Chief Musician; on an instrument of Gath. A Psalm by David. Yahweh, our Lord, how majestic is your name in all the earth, who has set your glory above the heavens!
Psalm 8:2	From the lips of babes and infants you have established strength, because of your adversaries, that you might silence the enemy and the avenger.
Psalm 8:3	When I consider your heavens, the work of your fingers, the moon and the stars, which you have ordained;
Psalm 8:4	what is man, that you think of him? What is the son of man, that you care for him?
Psalm 8:5	For you have made him a little lower than God, and crowned him with glory and honor.
Psalm 8:6	You make him ruler over the works of your hands. You have put all things under his feet:
Psalm 8:7	All sheep and cattle, yes, and the animals of the field,
Psalm 8:8	The birds of the sky, the fish of the sea, and whatever passes through the paths of the seas.
Psalm 8:9	Yahweh, our Lord, how majestic is your name in all the earth!
Psalm 9:1	For the Chief Musician. Set to “The Death of the Son.” A Psalm by David. I will give thanks to Yahweh with my whole heart. I will tell of all your marvelous works.
Psalm 9:2	I will be glad and rejoice in you. I will sing praise to your name, O Most High.
Psalm 9:3	When my enemies turn back, they stumble and perish in your presence.
Psalm 9:4	For you have maintained my just cause. You sit on the throne judging righteously.
Psalm 9:5	You have rebuked the nations. You have destroyed the wicked. You have blotted out their name forever and ever.
Psalm 9:6	The enemy is overtaken by endless ruin. The very memory of the cities which you have overthrown has perished.
Psalm 9:7	But Yahweh reigns forever. He has prepared his throne for judgment.
Psalm 9:8	He will judge the world in righteousness. He will administer judgment to the peoples in uprightness.
Psalm 9:9	Yahweh will also be a high tower for the oppressed; a high tower in times of trouble.
Psalm 9:10	Those who know your name will put their trust in you, for you, Yahweh, have not forsaken those who seek you.
Psalm 9:11	Sing praises to Yahweh, who dwells in Zion, and declare among the people what he has done.
Psalm 9:12	For he who avenges blood remembers them. He doesn’t forget the cry of the afflicted.
Psalm 9:13	Have mercy on me, Yahweh. See my affliction by those who hate me, and lift me up from the gates of death;
Psalm 9:14	that I may show forth all your praise. In the gates of the daughter of Zion, I will rejoice in your salvation.
Psalm 9:15	The nations have sunk down in the pit that they made. In the net which they hid, their own foot is taken.
Psalm 9:16	Yahweh has made himself known. He has executed judgment. The wicked is snared by the work of his own hands. Meditation. Selah.
Psalm 9:17	The wicked shall be turned back to Sheol, even all the nations that forget God.
Psalm 9:18	For the needy shall not always be forgotten, nor the hope of the poor perish forever.
Psalm 9:19	Arise, Yahweh! Don’t let man prevail. Let the nations be judged in your sight.
Psalm 9:20	Put them in fear, Yahweh. Let the nations know that they are only men. Selah.
Psalm 10:1	Why do you stand far off, Yahweh? Why do you hide yourself in times of trouble?
Psalm 10:2	In arrogance, the wicked hunt down the weak. They are caught in the schemes that they devise.
Psalm 10:3	For the wicked boasts of his heart’s cravings. He blesses the greedy, and condemns Yahweh.
Psalm 10:4	The wicked, in the pride of his face, has no room in his thoughts for God.
Psalm 10:5	His ways are prosperous at all times. He is haughty, and your laws are far from his sight. As for all his adversaries, he sneers at them.
Psalm 10:6	He says in his heart, “I shall not be shaken. For generations I shall have no trouble.”
Psalm 10:7	His mouth is full of cursing, deceit, and oppression. Under his tongue is mischief and iniquity.
Psalm 10:8	He lies in wait near the villages. From ambushes, he murders the innocent. His eyes are secretly set against the helpless.
