1	And Job answereth Jehovah and saith:—
2	Thou hast known that for all things Thou art able, And not withheld from Thee is any device:
3	Who is this, hiding counsel without knowledge?’ Therefore, I have declared, and understand not, Too wonderful for me, and I know not.
4	‘Hear, I pray thee, and I—I do speak, I ask thee, and cause thou me to know.’
5	By the hearing of the ear I heard Thee, And now mine eye hath seen Thee.
6	Therefore do I loathe it, And I have repented on dust and ashes.
7	And it cometh to pass after Jehovah’s speaking these words unto Job, that Jehovah saith unto Eliphaz the Temanite, ‘Burned hath Mine anger against thee, and against thy two friends, because ye have not spoken concerning Me rightly, like My servant Job.
8	And now, take to you seven bullocks and seven rams, and go ye unto My servant Job, and ye have caused a burnt-offering to ascend for you; and Job My servant doth pray for you, for surely his face I accept, so as not to do with you folly, because ye have not spoken concerning Me rightly, like My servant Job.
9	And they go—Eliphaz the Temanite, and Bildad the Shuhite, Zophar the Naamathite—and do as Jehovah hath spoken unto them; and Jehovah doth accept the face of Job.
10	And Jehovah hath turned to the captivity of Job in his praying for his friends, and Jehovah doth add to all that Job hath—to double.
11	And come unto him do all his brethren, and all his sisters, and all his former acquaintances, and they eat bread with him in his house, and bemoan him, and comfort him concerning all the evil that Jehovah had brought upon him, and they gave to him each one kesitah, and each one ring of gold.
12	And Jehovah hath blessed the latter end of Job more than his beginning, and he hath fourteen thousand of a flock, and six thousand camels, and a thousand pairs of oxen, and a thousand she-asses.
13	And he hath seven sons and three daughters;
14	and he calleth the name of the one Jemima, and the name of the second Kezia, and the name of the third Keren-Happuch.
15	And there have not been found women fair as the daughters of Job in all the land, and their father doth give to them an inheritance in the midst of their brethren.
16	And Job liveth after this a hundred and forty years, and seeth his sons, and his sons’ sons, four generations;
17	and Job dieth, aged and satisfied with days.
Psalm 1:1	O the happiness of that one, who Hath not walked in the counsel of the wicked. And in the way of sinners hath not stood, And in the seat of scorners hath not sat;
Psalm 1:2	But—in the law of Jehovah is his delight, And in His law he doth meditate by day and by night:
Psalm 1:3	And he hath been as a tree, Planted by rivulets of water, That giveth its fruit in its season, And its leaf doth not wither, And all that he doth he causeth to prosper.
Psalm 1:4	Not so the wicked: But—as chaff that wind driveth away!
Psalm 1:5	Therefore the wicked rise not in judgment, Nor sinners in the company of the righteous,
Psalm 1:6	For Jehovah is knowing the way of the righteous, And the way of the wicked is lost!
